"Name","Barcode","Tags","Available stock","purchase cost","Sale Price","status"
"3 STAR LOCK    2 PLY  3 KEY","","","93","250","330","published Edit Photos"
"3 STAR LOCK   2   2 PLY  2 KEY","","","97","230","290","published Edit Photos"
"3 STAR LOCK   3  3 PLY","","","0","335","390","published Edit Photos"
"558 B   CYLINDER","","","0","165","185","published Edit Photos"
"558 B   FAST  AR","","","6.298804","8350","8700","published Edit Photos"
"558 B   WITHOUT CHUKI","","","8.23175935","7560","7950","published Edit Photos"
"AGFA   3","","","3.666","415","425","published Edit Photos"
"AGFA   4","","","12.3333","603","625","published Edit Photos"
"AL DRAFT   GULF AIR   10   1/2","","","3.91661","1850","2100","published Edit Photos"
"AL DRAFT   GULF AIR   10   5/8","","","5.66662","2700","3000","published Edit Photos"
"AL DRAFT   GULF AIR   8   1/2","","","1.933326","1800","2000","published Edit Photos"
"AL DRAFT   GULF AIR   8   5/8","","","2","2650","2950","published Edit Photos"
"ALMARI LOCK   KGI","","","16","470","490","published Edit Photos"
"ALMARI LOCK CL   THAILAND","","","5","400","440","published Edit Photos"
"ALUMUNIM SHEET   1    .08MM","","","0","1510","1550","published Edit Photos"
"ALUMUNIM SHEET   2.5    .08MM","","","26.81","1530","1470","published Edit Photos"
"ALUMUNIM SHEET   2.5    1.2MM","","","0","1570","1550","published Edit Photos"
"ALUMUNIM SHEET   3    .08MM","","","0","1490","1470","published Edit Photos"
"ALUMUNIM SHEET   3    1.2MM","","","0","1470","1550","published Edit Photos"
"ALUMUNIM SHEET   4    .10MM","","","0","2200","2300","published Edit Photos"
"BABAR   AC   BATHROOM","","","0","1120","1150","published Edit Photos"
"BABAR   CP   BATHROOM","","","9","1100","1120","published Edit Photos"
"BABAR   LOCK   AC","","","13","1100","1120","published Edit Photos"
"BABAR LOCK   808   CP","","","9","1100","1120","published Edit Photos"
"BABAR LOCK   FANCY DESIGN  AB","","","5","1040","1080","published Edit Photos"
"BED CLIP   3   8 GAGE","","","0","450","490","published Edit Photos"
"BED CLIP   4   8 GAGE","","","26","550","650","published Edit Photos"
"BED CLIP   5   8 GAGE","","","34","650","750","published Edit Photos"
"BEIFIEBU 3D","","","34","310","315","published Edit Photos"
"BOTTLE RACK   6   LOCAL","","","0","2600","3000","published Edit Photos"
"CATCHER   GOLI","","","-100","21","30","published Edit Photos"
"CATCHER   K SON   PVC","","","0","27.5","29","published Edit Photos"
"CATCHER   LARGE   SMC","","","71","78","88","published Edit Photos"
"CATCHER   LARGE   WEL MAX","","","360","53.5","58","published Edit Photos"
"CATCHER   MEDIUM   SMC","","","270","58","68","published Edit Photos"
"CATCHER   SS   KING LARGE","","","1348","34","38","published Edit Photos"
"CATCHER   SS   KING MEDIUM","","","1650","28.5","31","published Edit Photos"
"CATCHER LONG NECK","","","0","56","65","published Edit Photos"
"CATCHER MANDUCK   TIWAN","","","0","2000","2500","published Edit Photos"
"CUSHION GLIDE   1","","","12","370","450","published Edit Photos"
"CUSHION GLIDE   1.5","","","6","430","500","published Edit Photos"
"CUSHION GLIDE   3/4","","","8","330","400","published Edit Photos"
"CYLINDER   LARGE   1 SIDE ZINC FALE","","","0","450","510","published Edit Photos"
"CYLINDER   large   2 SIDE ZINC FALE","","","36","455","510","published Edit Photos"
"CYLINDER   MEDIUM   1 SIDE BRASS FALE","","","60","380","430","published Edit Photos"
"CYLINDER   MEDIUM   2 SIDE BRASS FALE","","","0","360","450","published Edit Photos"
"CYLINDER   MEDIUM   ALUNIMUM AB","","","3","210","330","published Edit Photos"
"CYLINDER   PMHS   LARGE   BRASS  1 SIDE","","","6","700","610","published Edit Photos"
"CYLINDER   PMHS   LARGE   BRASS  2 SIDE","","","0","600","490","published Edit Photos"
"CYLINDER   PMHS   LARGE   COMP","","","89","650","550","published Edit Photos"
"CYLINDER   PMHS   LARGE   ZINC","","","61","375","450","published Edit Photos"
"CYLINDER   PMHS   MEDIUM   BRASS   1 SIDE","","","109","360","460","published Edit Photos"
"CYLINDER   PMHS   MEDIUM   BRASS   2 SIDE","","","0","330","410","published Edit Photos"
"CYLINDER   PMHS   MEDIUM   ZINC   1 SIDE","","","98","270","325","published Edit Photos"
"CYLINDER   PMHS   MEDIUM   ZINC   2 SIDE","","","0","150","210","published Edit Photos"
"CYLINDER  SHE ZINC  1 SIDE","","","13","350","380","published Edit Photos"
"CYLINDER.  SHH.  BRASS MEDIUM 1 SIDE","","","0","340","480","published Edit Photos"
"D. LOCK   DOUBLE   MAXIUM","","","0","1000","950","published Edit Photos"
"D. LOCK   DOUBLE   SAK","","","50","1000","1100","published Edit Photos"
"D. LOCK   SINGLE   MAXIUM","","","0","880","850","published Edit Photos"
"D. LOCK   SINGLE   SAK","","","9","875","1000","published Edit Photos"
"DEAD BOLT LOCK   MAXEL AB   1 SIDE","","","0","1100","1225","published Edit Photos"
"DEAD BOLT LOCK   MAXEL AB   2 SIDE","","","0","1200","1250","published Edit Photos"
"DEAD BOLT LOCK   MAXEL SS   1 SIDE","","","0","1100","1250","published Edit Photos"
"DESPENSER   SS   500ML   KHAS","","","0","750","850","published Edit Photos"
"DIAMAND 2.5   3PLY 3KEY","","","0","555","600","published Edit Photos"
"DISK RACK   20","","","0","2025","2250","published Edit Photos"
"DISK RACK   304","","","23","2000","2100","published Edit Photos"
"DISK RACK   304 A","","","37","2300","2400","published Edit Photos"
"DISK RACK   304 B","","","46","2500","2700","published Edit Photos"
"DISK RACK   304 C","","","2","2900","3000","published Edit Photos"
"DISK RACK   304D","","","1","3200","3150","published Edit Photos"
"DOOR BRUSH PATTI   48","","","0","290","375","published Edit Photos"
"DOOR CLOSER   061 CHAMPION  PMHS","","","17","1700","2350","published Edit Photos"
"DOOR CLOSER   072   CHAMPION","","","0","1180","1350","published Edit Photos"
"DOOR CLOSER   512  CHAMPION","","","2","1050","1250","published Edit Photos"
"DOOR CLOSER   B71   BRONZE","","","0","2900","3000","published Edit Photos"
"DOOR CLOSER   B71   CHAMPAGNE","","","20","2800","3000","published Edit Photos"
"DOOR CLOSER   B71   SILIVER","","","10","2800","3100","published Edit Photos"
"DOOR CLOSER   CHAMPAGNE   643D","","","0","3750","4050","published Edit Photos"
"DOOR CLOSER   KGI   632   BRONZE","","","0","3850","2500","published Edit Photos"
"DOOR CLOSER   KGI   632   CHAMPGNE","","","25","3800","2500","published Edit Photos"
"DOOR CLOSER   KGI   632   SILIVER","","","0","3850","2500","published Edit Photos"
"DOOR CLOSER   KGI   632 D   CHAMPAGNE","","","0","1625","1900","published Edit Photos"
"DOOR CLOSER   KGI   643","","","2","4900","3650","published Edit Photos"
"DOOR CLOSER   MAXEL   70   CHAMPAGNE","","","113","2100","2300","published Edit Photos"
"DOOR CLOSER   MAXEL   70   SILIVER","","","15","2100","2300","published Edit Photos"
"DOOR CLOSER   SILIVER   643D","","","0","3750","4050","published Edit Photos"
"DOOR CLOSER   SMC   632   CHAMPION","","","8","3900","4200","published Edit Photos"
"DOOR CLOSER   SMC   632 SILIVER","","","0","3900","4000","published Edit Photos"
"DOOR CLOSER RECONDITION   62  CHAMPION","","","0","1100","1350","published Edit Photos"
"DRAWER CHANNEL   10   ARH   LIGHT","","","149","155","180","published Edit Photos"
"DRAWER CHANNEL   10   ARH   MEDIUM","","","0","250","290","published Edit Photos"
"DRAWER CHANNEL   10   SAK","","","150","245","260","published Edit Photos"
"DRAWER CHANNEL   10   SMC","","","0","317.5","330","published Edit Photos"
"DRAWER CHANNEL   12   ARH   MEDIUM","","","0","300","348","published Edit Photos"
"DRAWER CHANNEL   12   SAK","","","288","294","336","published Edit Photos"
"DRAWER CHANNEL   12   SAK   LIGHT","","","32","186","204","published Edit Photos"
"DRAWER CHANNEL   12   SMC","","","81","381","396","published Edit Photos"
"DRAWER CHANNEL   12   WHEEL   TREND","","","0","336","360","published Edit Photos"
"DRAWER CHANNEL   12   WICTOR   LIGHT","","","234","189","204","published Edit Photos"
"DRAWER CHANNEL   12 MAXEL","","","12","420","222","published Edit Photos"
"DRAWER CHANNEL   12 WHEEL","","","0","156","174","published Edit Photos"
"DRAWER CHANNEL   14   SAK","","","131","343","392","published Edit Photos"
"DRAWER CHANNEL   14   SAK   LIGHT","","","18","224","238","published Edit Photos"
"DRAWER CHANNEL   14   SMC","","","44","444.5","462","published Edit Photos"
"DRAWER CHANNEL   14   WHEEL   TREND","","","0","392","420","published Edit Photos"
"DRAWER CHANNEL   14   WICTOR   LIGHT","","","588","220.5","238","published Edit Photos"
"DRAWER CHANNEL   14 MAXEL","","","15","490","259","published Edit Photos"
"DRAWER CHANNEL   14 WHEEL","","","0","182","168","published Edit Photos"
"DRAWER CHANNEL   16   ARH   LIGHT","","","0","272","288","published Edit Photos"
"DRAWER CHANNEL   16   ARH   MEDIUM","","","2","400","480","published Edit Photos"
"DRAWER CHANNEL   16   SAK","","","0","416","448","published Edit Photos"
"DRAWER CHANNEL   16   SAK   LIGHT","","","0","256","272","published Edit Photos"
"DRAWER CHANNEL   16   SMC","","","52","508","528","published Edit Photos"
